Name,Gender,Kin?,BirthYear,DeathYear,BirthPlace,Smallest Birth Place,Birth State,Birth Country
Pennsylvania Committee of Safety,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Pennsylvania Delegates in Congress,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Penuel Bowen,M,N,,,"Woodstock, Connecticut, America",Woodstock,Connecticut,America
Peter Burdett,M,N,,1793,"Derby, Derbyshire, England",Derby,Derbyshire,England
Peter Collinson,M,N,1694,1768,"London, Greater London, England",London,Greater London,England
Peter Franklin,M,Y,1692,1766,"Boston, Massachusetts, America",Boston,Massachusetts,America
Peter Hasenclever,M,N,1716,1793,"Remscheid, Germany",Remscheid,,Germany
Peter Hinrich Tesdorpf,M,N,1712,1778,Germany,,,Germany
Peter Schuyler,M,N,1710,1762,America,,,America
Peter Templeman,M,N,1711,1769,"Dorchester, Dorset, England",Dorchester,Dorset,England
Peter Timothy,M,N,1720,1781,"South Carolina, America",,South Carolina,America
